time_aligned_sec,L_Gyro_Z_aligned,R_Gyro_Z_aligned
3.5500000000000003,99.707,11.73
3.555,117.302,11.73
3.56,134.897,11.73
3.565,152.493,17.595
3.5700000000000003,170.088,17.595
3.575,181.818,17.595
3.58,175.953,23.46
3.585,164.223,23.46
3.59,152.493,29.326
3.595,152.493,35.191
3.6,146.628,35.191
3.605,175.953,41.056
3.61,64.516,46.921
3.615,-99.707,52.786
3.62,-129.032,58.651
3.625,-70.381,70.381
3.63,-5.865,76.246
3.6350000000000002,29.326,87.977
3.64,41.056,99.707
3.645,41.056,117.302
3.65,46.921,134.897
3.6550000000000002,46.921,152.493
3.66,52.786,170.088
3.665,52.786,181.818
3.67,46.921,175.953
3.6750000000000003,35.191,170.088
3.68,23.46,158.358
3.685,17.595,158.358
3.69,17.595,146.628
3.6950000000000003,17.595,175.953
3.7,17.595,111.437
3.705,23.46,-70.381
3.71,23.46,-134.897
3.715,17.595,-93.842
3.72,11.73,-23.46
3.725,-0.0,29.326
3.73,-5.865,35.191
3.735,-11.73,41.056
3.74,-11.73,41.056
3.745,-11.73,46.921
3.75,-11.73,46.921
3.755,-11.73,52.786
3.7600000000000002,-11.73,46.921
3.765,-11.73,35.191
3.77,-11.73,29.326
3.775,-11.73,17.595
3.7800000000000002,-11.73,17.595
3.785,-5.865,17.595
3.79,-5.865,17.595
3.795,-0.0,17.595
3.8000000000000003,-0.0,23.46
3.805,-0.0,17.595
3.81,5.865,11.73
3.815,-0.0,5.865
3.8200000000000003,-0.0,-5.865
3.825,-0.0,-11.73
3.83,-0.0,-11.73
3.835,-0.0,-11.73
3.84,-0.0,-11.73
3.845,5.865,-11.73
3.85,-0.0,-11.73
3.855,-0.0,-11.73
3.86,-0.0,-11.73
3.865,-0.0,-11.73
3.87,-0.0,-11.73
3.875,-5.865,-5.865
3.88,-5.865,-5.865
3.8850000000000002,-5.865,0.0
3.89,-5.865,0.0
3.895,-5.865,5.865
3.9,-5.865,5.865
3.9050000000000002,-5.865,5.865
3.91,-0.0,5.865
3.915,-0.0,0.0
3.92,-0.0,0.0
3.9250000000000003,-0.0,0.0
3.93,-0.0,0.0
3.935,-0.0,0.0
3.94,-0.0,0.0
3.9450000000000003,-0.0,0.0
3.95,-0.0,0.0
3.955,-0.0,0.0
3.96,-0.0,0.0
3.9650000000000003,-0.0,0.0
3.97,-0.0,0.0
3.975,-0.0,-5.865
3.98,-0.0,-5.865
3.985,-0.0,-5.865
3.99,-0.0,0.0
3.995,-0.0,0.0
4.0,-0.0,0.0
4.005,-0.0,0.0
4.01,-5.865,0.0
4.015,-5.865,0.0
4.0200000000000005,-5.865,0.0
4.025,-5.865,0.0
4.03,-5.865,0.0
4.035,-5.865,0.0
4.04,-5.865,0.0
4.045,-5.865,0.0
4.05,-5.865,0.0
4.055,-11.73,5.865
4.0600000000000005,-5.865,0.0
4.065,-11.73,0.0
4.07,-11.73,0.0
4.075,-11.73,0.0
4.08,-5.865,0.0
4.085,-5.865,0.0
4.09,-5.865,0.0
4.095,-11.73,0.0
4.1,-11.73,0.0
4.105,-11.73,-5.865
4.11,-11.73,-5.865
4.115,-11.73,-5.865
4.12,-11.73,-5.865
4.125,-11.73,-5.865
4.13,-5.865,-5.865
4.135,-5.865,-5.865
4.14,-5.865,-5.865
4.1450000000000005,-0.0,-5.865
4.15,-0.0,-5.865
4.155,-0.0,-5.865
4.16,5.865,-11.73
4.165,5.865,-11.73
4.17,5.865,-5.865
4.175,11.73,-5.865
4.18,11.73,-5.865
4.1850000000000005,11.73,-5.865
4.19,17.595,-5.865
4.195,17.595,-11.73
4.2,17.595,-11.73
4.205,23.46,-11.73
4.21,23.46,-11.73
4.215,23.46,-11.73
4.22,23.46,-11.73
4.225,29.326,-5.865
4.23,29.326,-5.865
4.235,29.326,-5.865
4.24,29.326,0.0
4.245,29.326,0.0
4.25,35.191,0.0
4.255,35.191,5.865
4.26,35.191,5.865
4.265,35.191,11.73
4.2700000000000005,35.191,11.73
4.275,41.056,17.595
4.28,41.056,17.595
4.285,46.921,17.595
4.29,46.921,17.595
4.295,46.921,17.595
4.3,52.786,23.46
4.305,52.786,23.46
4.3100000000000005,52.786,23.46
4.315,52.786,23.46
4.32,52.786,29.326
4.325,52.786,29.326
4.33,52.786,29.326
4.335,52.786,29.326
4.34,52.786,29.326
4.345,52.786,35.191
4.3500000000000005,52.786,35.191
4.355,52.786,35.191
4.36,52.786,35.191
4.365,52.786,35.191
4.37,46.921,41.056
4.375,46.921,41.056
4.38,46.921,41.056
4.385,46.921,46.921
4.39,46.921,46.921
4.3950000000000005,46.921,46.921
4.4,46.921,52.786
4.405,46.921,52.786
4.41,46.921,52.786
4.415,46.921,52.786
4.42,46.921,52.786
4.425,46.921,52.786
4.43,46.921,52.786
4.4350000000000005,46.921,52.786
4.44,41.056,52.786
4.445,41.056,52.786
4.45,41.056,52.786
4.455,41.056,46.921
4.46,35.191,46.921
4.465,35.191,46.921
4.47,35.191,46.921
4.4750000000000005,35.191,46.921
4.48,35.191,46.921
4.485,35.191,46.921
4.49,35.191,46.921
4.495,35.191,46.921
4.5,35.191,46.921
4.505,29.326,46.921
4.51,29.326,46.921
4.515,29.326,46.921
4.5200000000000005,29.326,46.921
4.525,23.46,41.056
4.53,23.46,41.056
4.535,23.46,41.056
4.54,17.595,41.056
4.545,17.595,35.191
4.55,17.595,35.191
4.555,17.595,35.191
4.5600000000000005,11.73,35.191
4.565,11.73,35.191
4.57,11.73,35.191
4.575,11.73,35.191
4.58,5.865,35.191
4.585,5.865,35.191
4.59,5.865,35.191
4.595,5.865,29.326
4.6000000000000005,5.865,29.326
4.605,5.865,29.326
4.61,5.865,23.46
4.615,5.865,23.46
4.62,5.865,23.46
4.625,-0.0,23.46
4.63,-0.0,17.595
4.635,-0.0,17.595
4.64,-0.0,17.595
4.6450000000000005,-0.0,11.73
4.65,-5.865,11.73
4.655,-5.865,11.73
4.66,-5.865,11.73
4.665,-5.865,11.73
4.67,-0.0,11.73
4.675,-0.0,5.865
4.68,-0.0,5.865
4.6850000000000005,-0.0,5.865
4.69,-0.0,5.865
4.695,-0.0,5.865
4.7,-0.0,5.865
4.705,-0.0,5.865
4.71,-0.0,5.865
4.715,-0.0,0.0
4.72,-5.865,0.0
4.7250000000000005,-5.865,0.0
4.73,-11.73,-5.865
4.735,-11.73,-5.865
4.74,-17.595,-5.865
4.745,-17.595,-5.865
4.75,-17.595,-5.865
4.755,-17.595,-5.865
4.76,-11.73,-5.865
4.765,-11.73,0.0
4.7700000000000005,-5.865,0.0
4.775,-5.865,0.0
4.78,-0.0,0.0
4.785,-0.0,0.0
4.79,5.865,0.0
4.795,11.73,0.0
4.8,11.73,0.0
4.805,17.595,-5.865
4.8100000000000005,17.595,-5.865
4.815,17.595,-11.73
4.82,17.595,-11.73
4.825,17.595,-17.595
4.83,29.326,-17.595
4.835,35.191,-17.595
4.84,23.46,-23.46
4.845,11.73,-17.595
4.8500000000000005,5.865,-17.595
4.855,-0.0,-11.73
4.86,-0.0,-11.73
4.865,-5.865,-5.865
4.87,-5.865,-5.865
4.875,-5.865,0.0
4.88,-5.865,0.0
4.885,-5.865,5.865
4.89,-11.73,11.73
4.8950000000000005,-17.595,11.73
4.9,-17.595,17.595
4.905,-11.73,17.595
4.91,5.865,17.595
4.915,23.46,17.595
4.92,17.595,23.46
4.925,11.73,29.326
4.93,5.865,29.326
4.9350000000000005,11.73,11.73
4.94,5.865,5.865
4.945,-0.0,0.0
4.95,-0.0,0.0
4.955,-0.0,-5.865
4.96,-0.0,-5.865
4.965,-0.0,-5.865
4.97,-0.0,-5.865
4.9750000000000005,-0.0,-11.73
4.98,-5.865,-11.73
4.985,-5.865,-17.595
4.99,-11.73,-17.595
4.995,-17.595,-17.595
